pV_FFA_P_inst;pV_DACH_P_inst;storage_ffa_E_max;storage_dach_E_max;Wind_P_el_n;CAPEX;one_minus_oa_times_oc
64102423.53330409;4979718.354170521;42252652588.65993;12259671932.137114;1933227.0318264363;42530952.1957481;0.41591959502224307
49996305.302957706;2712120.0680261697;129183846544.72607;54663245872.17983;12454264.24905269;51819968.75213763;0.2389022542369723
31608935.417681195;8808116.225757912;52436527532.32232;52513894161.049866;10174690.299934516;42450338.489268675;0.27021294593086764
85222309.39361829;19560693.550065644;41258784438.72557;15146242721.049341;334076.41766984755;66818205.07353544;0.4581445236131356
51585136.04653245;15621003.896381807;154150628563.03867;43976505041.97931;12379601.237088792;65370044.57901946;0.23204523150197676
10632130.25535234;7240369.146153438;134588162921.1423;5533742804.188577;5118933.242674775;24641329.75759201;0.3996051312814589
22502224.26941757;17171250.681392767;47072304063.7625;61340150086.59037;6463795.102995329;44404802.43669463;0.3204801962085213
5387573.0734216655;17044624.007752985;19987903242.577324;44682199845.51788;14179353.263554404;37689225.650816955;0.26347939541182974
81083845.88900685;15955858.010972392;108150686172.96411;5115770095.709334;4220094.520029927;66381746.9239559;0.3324354061545358
33151402.307277393;15096327.052783392;1253877701.3463016;26251254157.39535;11030280.647848295;43660406.0864658;0.25481920289049464
62330070.44090582;4153747.67758529;18614825739.367313;32304910121.121727;14584224.73303021;51777901.50570928;0.21735352903490346
2881375.616068352;7289591.074843644;156636764482.92505;21954189591.21429;7841297.104773682;26362487.181511458;0.39877767401929
55814370.82026419;3565906.0795880733;93316276232.53145;63898138777.75793;383425.63338159776;45819639.78014117;0.4824230316218038
97076970.44995438;2995967.3981351093;75177813817.31738;4565414379.807174;6902287.142457248;61521798.52255719;0.27892418686151976
68651664.46712892;19782904.6501245;116096484290.94035;58982987646.83615;5335978.8175621405;72752607.29730672;0.30957962579137566
57960367.37308938;16477440.90488646;61290460013.07128;30994315594.607872;438851.14513177116;53496554.56136836;0.46944110829485464
99581262.00266793;3162094.791692657;152698074751.30157;12488657735.629066;14998823.516367055;74419605.60198939;0.20434585104908132
74828719.08411768;18472230.916817103;136611277935.62727;4473314587.188628;16761802.70243841;76668751.61923802;0.19722269238732504
701714.9336312483;19982941.07768744;8430264005.198769;45695130697.15091;4631798.010140292;30622540.98255695;0.40018403551713944
39096675.60807882;15359204.279644435;169658968310.019;30791545464.21891;3935185.671889129;51561033.11374326;0.3608354071043238
1031332.7282611239;6753696.580471004;101039172305.0496;54729498049.40193;4947246.389693114;24194404.260679983;0.49883857586574776
86564748.38693553;352221.5523945927;11772430284.129837;48817768140.57748;1776689.1236064516;52401382.06832129;0.40919539500369717
54595370.6009048;19857014.72115855;97275712804.57639;37813657791.16239;6462153.418740186;62657418.26802621;0.29495002202718545
45327456.053898744;18861096.65943311;82581427655.4507;19752365081.411854;11607091.29071603;57561384.28547397;0.2399333853468022
61832984.64636411;15916464.520803217;39341669517.420715;40982512818.13269;5151843.061818035;58574503.11605727;0.31764467725446643
