Wind_P_el_n;pV_P_inst;storage_E_max;OC;OA
1.0;19252436.920956496;225379112146.13535;0.8468160080080037;0.562805180899295
1.0;903494.2966778812;48138207248.15351;0.9999999999997781;0.02866051779639051
1.0;10544691.303896477;38513411879.59953;0.9361422231586406;0.29773766698172777
1.0;17779164.163141627;5089287921.882738;0.7247548622602379;0.4935624574532167
1.0;11536126.06650371;107989997451.4174;0.946591509730438;0.3312405505040098
1.0;16886778.553538006;170480961777.88174;0.8643709956948443;0.4909710636332673
1.0;14440798.805579683;24274319610.85515;0.8256605884958051;0.4071481556074013
1.0;10465138.537540171;210874691985.49585;0.9931364794599215;0.30495012613627814
1.0;13424999.946257513;66712057142.39589;0.8816492200612507;0.38335770287273735
1.0;15000843.788406584;332639819981.36865;0.9618216425876885;0.4419722925214285
1.0;212053.59076337286;267803052243.38968;0.9999999999997184;0.02260113989001386
1.0;12369652.494821656;219697331917.43756;0.9705701650031339;0.360713670942484
1.0;14182088.351654913;218599581034.69583;0.9387244478897872;0.4136180562854514
1.0;1533914.1324847832;253363432625.57324;0.9999999999998906;0.0581972781432114
1.0;17830900.97467747;191681205562.766;0.8566518719874713;0.5196480237174245
1.0;15510965.967209013;26347071792.089584;0.8001735352296815;0.43798913529662437
1.0;18553790.27397535;168210598469.04977;0.8294278835933797;0.5397169440453227
1.0;4785523.002094099;182627949770.4873;0.9999999999611888;0.14375280196957174
1.0;12020454.278695548;197074673530.32935;0.9696363139513823;0.3495772758445628
1.0;17339242.633891456;297975779622.40436;0.9133436427544568;0.509245069681019
1.0;1867476.3686349178;59510077314.38921;0.9999999999998863;0.0559882335046265
1.0;13954638.027769323;338545125103.4504;0.9775709554546643;0.41169844825929486
1.0;109233.04000280482;112221025592.68513;0.9999999999994114;0.010807449286036566
1.0;10250784.90573963;101557022949.36122;0.970247090963782;0.29357025881957116
1.0;20276761.55385658;245689075496.70126;0.8382841420674848;0.5936838134463677
1.0;5078957.09525154;250170103286.00253;0.9999999997034128;0.1556326657976735
1.0;13300268.624168854;39234280376.37702;0.8665961844751545;0.3769173438992619
1.0;1949428.0867383666;99886801684.26901;0.9999999999998953;0.06077755697027494
1.0;20074159.604315184;105422944495.03891;0.7596300083349159;0.5798048146016765
1.0;6086139.931398589;34650569136.89829;0.99988353328256;0.170661315620821
1.0;16262934.040292231;290568321130.39667;0.9286147796566988;0.4773620668772131
1.0;6228028.539918424;289674063685.87225;0.9999999955341855;0.1895488442315619
1.0;8006256.00613532;328004167539.5289;0.9999999571085134;0.24116291232787182
1.0;15222542.715249373;147894322443.37582;0.8871021755069407;0.4410699473646698
1.0;19717464.5371039;161096961754.26624;0.8025305528314951;0.5733811416385562
1.0;16996617.594105557;25143577755.60803;0.7629706581021488;0.47977765564688996
1.0;13055111.222173829;217413517425.30923;0.9585142337288479;0.3806236072912211
1.0;3057355.1592829213;330285614992.1976;0.999999999999939;0.10440835714517824
1.0;12447752.269486085;302782373576.1666;0.9879790944557664;0.3664067871158688
1.0;8961016.881820012;72222882170.97035;0.9838396268703874;0.25458469548281937
1.0;4553028.177337186;149403022688.57785;0.999999999999953;0.1354438325162943
1.0;1250876.3802657083;94489664215.05034;0.9999999999998456;0.04119408799692178
1.0;18260945.705135763;280287790005.54486;0.8904873018972187;0.5357355184123739
1.0;16780819.55809815;257852029358.38876;0.9073473768406957;0.4913935067042974
1.0;508255.26113943703;83018729482.2183;0.9999999999996821;0.02001278985668246
1.0;13872944.966390027;230016882745.7576;0.9484343292268315;0.4050327575156092
1.0;10071396.788325185;301219619116.6832;0.9998884718708317;0.29778632852400216
1.0;17544812.51400653;69613521765.5071;0.7866894329585982;0.5029179251351926
1.0;13179404.124282598;96420838157.12819;0.9045535563636692;0.37839210308814436
1.0;20683968.83362922;15627380777.974913;0.6726206197751322;0.5798039609974911
1.0;9065871.808096796;352951500472.6019;0.9999999508020149;0.2721194813137097
1.0;10367704.312419113;263238766467.46988;0.9986562913290283;0.3044912014237015
1.0;18784225.410344854;242563535766.02017;0.8640257986493366;0.5497349563526235
1.0;18899148.8941043;298919799673.54407;0.887207098254414;0.5551583808325392
1.0;3021501.211662872;7537413244.294525;0.9999999999999243;0.08403178304172075
1.0;14917650.366437232;22006423.945543166;0.7905524571537266;0.41154158940175856
1.0;76434.52961363015;180900848256.48227;0.9999999999995437;0.0139445832797577
1.0;3268930.327972623;85373399920.5034;0.9999999999999339;0.0962541775312321
1.0;8232879.075863433;274766947491.15265;0.9999999608499586;0.2445183322714346
1.0;9386349.709922222;272046353791.03314;0.9999618344090827;0.2768372127220893
1.0;2125001.478695105;19213611832.998013;0.9999999999998945;0.060290540705396724
1.0;7315046.756715353;313942647344.76685;0.9999999743779181;0.22113872007804802
1.0;8529978.681522569;47110080601.75309;0.9838022149289116;0.24060103109206482
1.0;9982994.23903172;121124159313.47401;0.9809577594330742;0.2868096108693311
1.0;16197184.126380416;310796677536.5965;0.9365998071400454;0.4761673004130203
1.0;6770535.530976541;2842904353.461013;0.996877978517439;0.1871128081975913
1.0;10976654.328129126;308523307240.7369;0.9987789904736686;0.3240804012876586
1.0;17997901.9473421;342761264599.98047;0.9187343727277053;0.530154731881335
1.0;15781142.876887256;16505144380.16698;0.7846137993183259;0.44297646832285625
1.0;1400889.1722746887;80290502255.7378;0.9999999999998569;0.044448804394517
1.0;13679865.717387144;335870254654.5859;0.9803595137262563;0.40359426305206064
1.0;5831146.883598678;187157411583.6906;0.9999999988306488;0.17281686401693738
1.0;17242526.0234605;128149050377.45213;0.8326371630894432;0.49908131118780763
1.0;6960995.77307863;60504747520.57827;0.9996616927272668;0.196705074851885
1.0;2316537.9715227294;278916606257.349;0.9999999999999216;0.08117173336021467
1.0;10606227.473493826;333183056660.5764;0.9998521508430858;0.31460261987597904
1.0;9089658.413529132;216473909403.08267;0.9997879708462091;0.2656045200210546
1.0;18213513.026462168;297029382087.003;0.8981908127590086;0.5349246898636589
1.0;4698424.862822772;264750230681.59137;0.9999999999999564;0.14596339395344846
1.0;500213.8020388745;76908286278.30801;0.9999999999996722;0.0194072096138348
1.0;2803730.666867199;316539729365.13995;0.9999999999999342;0.09666790927290263
1.0;16040725.623479687;164312785826.09326;0.8785627177175829;0.4658675859005076
1.0;19511318.68600854;249365332906.0127;0.8539739501853859;0.5713533049850458
1.0;3630035.162530829;239213245421.97894;0.9999999999999447;0.11512406519135711
1.0;7693678.361552474;124296714636.0506;0.9998181539499112;0.22108324081532751
1.0;8147426.06275191;43838826046.77197;0.9889408386096561;0.22942139317111046
1.0;1430017.9451615936;137955309201.522;0.9999999999998694;0.048741382007468095
1.0;4355960.504099371;27589001543.17375;0.999999999999948;0.12244491676151294
1.0;13015985.277283903;194390067102.2177;0.9512889412320521;0.37851650333538767
1.0;5768516.4796533575;355897390404.5092;0.9999999986904169;0.1805108840799342
1.0;2589301.8859517705;323138333392.1686;0.9999999999999302;0.09112869944706983
1.0;19576702.967255253;87923613433.16245;0.7571049603333243;0.563675271111957
1.0;4000860.471992698;268805909884.29785;0.9999999999999499;0.1269825090279365
1.0;20843965.381273285;319145030715.96783;0.8625470761500664;0.6130008811883803
1.0;18449058.963619605;9550184513.945726;0.7141947681822725;0.5146090893804411
1.0;12339353.44833054;135703751618.36452;0.9415511097569387;0.3560820327330875
1.0;677466.9199092482;351646800886.96454;0.9999999999998412;0.04006789843350125
1.0;3288380.7895300575;31357746057.572113;0.9999999999999318;0.0932736516919706
1.0;14316447.735966157;270704899969.46063;0.9543644441182474;0.41959730673163537
1.0;8634231.688971581;53488894995.77376;0.9839056910241607;0.24401782247683332
1.0;10805190.098721752;321097210259.1592;0.9995434310663922;0.31973011962645176
1.0;14719742.35032509;229651745041.5058;0.9331143493272828;0.4298057356614795
1.0;17401558.912925586;89118287860.63074;0.8038566504786738;0.5007737723179894
1.0;15621328.501827657;199262578401.97736;0.903834343507535;0.4550739599102918
1.0;5204204.748860737;211235561053.57468;0.999999999486639;0.15690279745985322
1.0;9524800.765211195;6505193652.931276;0.9445531509676672;0.26448695171987513
1.0;19955607.865583118;116701611427.47389;0.7696879328294335;0.5773320436962739
5700000.0;18120801.499289908;28861334354.222645;0.7603146604729948;0.7311240155191219
5700000.0;8179134.42701836;136413441436.35321;0.9832802491689074;0.4556762678629468
5700000.0;3516656.6200266187;282608993792.4852;0.9999999453919395;0.3327195950573313
5700000.0;296153.0196372904;119603279684.98753;0.9905516746347708;0.2354478698200525
5700000.0;18725810.61347155;189343978624.91617;0.8467970142094857;0.7648386184076841
5700000.0;3377125.476340568;142504471545.03326;0.9943508161945736;0.3216693201608546
5700000.0;20486013.850719515;190088392294.6719;0.8164217636231494;0.8158359690383561
5700000.0;7266242.404300653;122407603254.51537;0.9846429162727026;0.4289868541693275
5700000.0;11432411.391937975;81489640750.4247;0.924144506733121;0.547031790866833
5700000.0;10129799.933126986;241092541934.50375;0.9871901402982665;0.5162774751821934
5700000.0;1830226.6625790466;206860774997.58627;0.9993258205069265;0.28220953823015726
5700000.0;16434634.52236068;317869895270.17474;0.9314070065272712;0.7029613419119676
5700000.0;14841382.256417546;305057784043.6471;0.9504943032635224;0.6559461955570832
5700000.0;2899716.7100451314;309033688150.8452;0.9999999462204151;0.31709805122651746
5700000.0;9209413.704248132;237403841648.91373;0.9910243653983429;0.48963489635516616
5700000.0;5332688.8477860475;152729028639.7584;0.9933613381911386;0.3763692987163938
5700000.0;11929807.801670393;178353740743.38193;0.9552077091956073;0.5661685510841362
5700000.0;16322125.48686989;127305723156.19856;0.858835337879864;0.691803114597951
5700000.0;6651139.815618422;283762149610.89954;0.9983970022956645;0.4197901289178272
5700000.0;19901633.892716546;336175931921.00836;0.8828919897153854;0.8046636544275627
5700000.0;3799025.9719227115;55944484215.33588;0.9782493164415467;0.32855274795365813
5700000.0;5977591.891382357;56363251836.71721;0.9746542396444524;0.38906443159116927
5700000.0;7520053.923926935;221658356295.21072;0.9946463621552321;0.440962033283218
5700000.0;13475636.392793734;33595691509.17331;0.8569846078188684;0.6009305533623598
5700000.0;17922080.9306321;209000637108.77606;0.8696097834027108;0.7423215030084198
5700000.0;8342491.831972022;340196661622.0342;0.9977900877943847;0.47021232113355826
5700000.0;12594028.344751205;67770528163.77381;0.8959718134388046;0.5796308411936436
5700000.0;8805315.457288364;113722741533.47504;0.9739149021016225;0.4726891185260089
5700000.0;19365675.71588579;248069612026.4978;0.8609571805972778;0.7858805402745224
5700000.0;13563524.887069583;167307588591.77853;0.9260211268762535;0.6133400156494893
5700000.0;15812911.16497218;31961718980.168457;0.8080522545732919;0.6668442528405205
5700000.0;8700394.576350506;115738901129.20737;0.9753846958328766;0.46975244034998176
5700000.0;9476192.044468282;165253838963.28177;0.9802431455063537;0.49430962396570927
5700000.0;4388436.342855363;74521847447.75098;0.9821352969050247;0.3460306798626072
5700000.0;20154409.69246208;343551042537.8807;0.8809660517322073;0.8122469474203757
5700000.0;19781868.200983867;104665845391.40662;0.7823274337426953;0.7898821174403177
5700000.0;16489785.866291977;294236034049.90576;0.9236979614997335;0.7036876197770972
5700000.0;3175951.021243453;87229842624.35918;0.9858008757442569;0.31317689289158496
